ar_coeff,DCorr-X_powers,DCorr-X_stds,LjungX_powers,LjungX_stds,BoxPierceX_powers,BoxPierceX_stds,MGC-X_powers,MGC-X_stds
0.100,0.056666666666666664,0.23120457511813117,0.03333333333333333,0.17950549357115012,0.043333333333333335,0.20360637405433937,0.056666666666666664,0.23120457511813117
0.150,0.06333333333333334,0.24356153682842085,0.06,0.23748684174075835,0.05,0.21794494717703364,0.056666666666666664,0.23120457511813117
0.200,0.06666666666666667,0.24944382578492943,0.06333333333333334,0.24356153682842088,0.06666666666666667,0.24944382578492946,0.07,0.25514701644346144
0.250,0.06666666666666667,0.24944382578492943,0.07666666666666666,0.2660618140374317,0.06666666666666667,0.24944382578492943,0.06333333333333334,0.24356153682842088
0.300,0.043333333333333335,0.20360637405433932,0.04666666666666667,0.21092389359408498,0.05,0.21794494717703364,0.04,0.19595917942265426
0.350,0.04666666666666667,0.210923893594085,0.04,0.19595917942265426,0.03333333333333333,0.17950549357115012,0.043333333333333335,0.20360637405433937
0.400,0.06333333333333334,0.24356153682842088,0.04,0.19595917942265426,0.043333333333333335,0.20360637405433932,0.05333333333333334,0.22469732728470287
0.450,0.06333333333333334,0.24356153682842083,0.06666666666666667,0.24944382578492946,0.06333333333333334,0.24356153682842088,0.06,0.23748684174075835
0.500,0.05,0.21794494717703364,0.043333333333333335,0.20360637405433937,0.05333333333333334,0.22469732728470287,0.056666666666666664,0.23120457511813114
0.550,0.08,0.2712931993250107,0.07333333333333333,0.2606828639468954,0.06333333333333334,0.24356153682842085,0.09,0.2861817604250837
0.600,0.056666666666666664,0.23120457511813117,0.08333333333333333,0.2763853991962833,0.07666666666666666,0.2660618140374317,0.04666666666666667,0.21092389359408498
0.650,0.07333333333333333,0.2606828639468954,0.07,0.2551470164434615,0.07333333333333333,0.2606828639468954,0.07333333333333333,0.2606828639468954
0.700,0.08333333333333333,0.2763853991962833,0.07333333333333333,0.2606828639468954,0.08666666666666667,0.28134597128012256,0.07666666666666666,0.2660618140374317
0.750,0.06666666666666667,0.24944382578492946,0.06666666666666667,0.24944382578492943,0.08,0.2712931993250107,0.09666666666666666,0.29550333707459586
0.800,0.07666666666666666,0.2660618140374317,0.07333333333333333,0.2606828639468954,0.07666666666666666,0.2660618140374317,0.09,0.2861817604250837
0.850,0.09333333333333334,0.29089898972361905,0.09,0.2861817604250837,0.07333333333333333,0.2606828639468954,0.07333333333333333,0.2606828639468954
0.900,0.07333333333333333,0.2606828639468954,0.07333333333333333,0.2606828639468954,0.07666666666666666,0.2660618140374317,0.06666666666666667,0.24944382578492946
0.950,0.11666666666666667,0.3210226714043037,0.10333333333333333,0.3043937508483963,0.11333333333333333,0.31699982474583316,0.14,0.3469870314579494
